id;numeroPais_MINEDUC;nombrePais
592;1;AFGANISTÁN
593;2;ALBANIA
594;3;ALEMANIA
595;4;ANDORRA
596;5;ANGOLA
597;6;ANTIGUA Y BARBUDA
598;7;ARABIA SAUDITA
599;8;ARGELIA
600;9;ARGENTINA
601;10;ARMENIA
602;11;AUSTRALIA
603;12;AUSTRIA
604;13;AZERBAIYÁN
605;14;BAHAMAS
606;15;BANGLADÉS
607;16;BARBADOS
608;17;BARÉIN
609;18;BÉLGICA
610;19;BELICE
611;20;BENÍN
612;21;BIELORRUSIA
613;22;BIRMANIA
614;23;BOLIVIA
615;24;BOSNIAHERZEGOVINA
616;25;BOTSUANA
617;26;BRASIL
618;27;BRUNÉI
619;28;BULGARIA
620;29;BURKINA FASO
621;30;BURUNDI
622;31;BUTÁN
623;32;CABO VERDE
624;33;CAMBOYA
625;34;CAMERÚN
626;35;CANADÁ
627;36;CATAR
628;37;CHAD
630;39;CHINA
631;40;CHIPRE
632;41;COLOMBIA
633;42;COMORAS
634;43;CONGO
635;44;COREA DEL NORTE
636;45;COREA DEL SUR
637;46;COSTA DE MARFIL
638;47;COSTA RICA
639;48;CROACIA
640;49;CUBA
641;50;DINAMARCA
642;51;DOMINICA
643;52;ECUADOR
644;53;EGIPTO
645;55;EMIRATOS ÁRABES UNIDOS
646;54;EL SALVADOR
647;56;ERITREA
648;57;ESLOVAQUIA
649;58;ESLOVENIA
650;59;ESPAÑA
651;60;ESTADOS UNIDOS
652;61;ESTONIA
653;62;ETIOPÍA
654;63;FILIPINAS
655;64;FINLANDIA
656;65;FIYI
657;66;FRANCIA
658;67;GABÓN
659;68;GAMBIA
660;69;GEORGIA
661;70;GHANA
662;71;GRANADA
663;72;GRECIA
664;73;GUATEMALA
665;74;GUINEA
666;75;GUINEA ECUATORIAL
667;76;GUINEA-BISÁU
668;77;GUYANA
669;78;HAITÍ
670;79;HONDURAS
671;80;HUNGRÍA
672;81;INDIA
673;82;INDONESIA
674;83;IRAK
675;84;IRÁN
676;85;IRLANDA
677;86;ISLANDIA
678;87;ISLAS MARSHALL
679;88;ISLAS SALOMÓN
680;89;ISRAEL
681;90;ITALIA
682;91;JAMAICA
683;92;JAPÓN
684;93;JORDANIA
685;94;KAZAJISTÁN
686;95;KENIA
687;96;KIRGUISTÁN
688;97;KIRIBATI
689;98;KOSOVO
690;99;KUWAIT
691;100;LAOS
692;101;LESOTO
693;102;LETONIA
694;103;LÍBANO
695;104;LIBERIA
696;105;LIBIA
697;106;LIECHTENSTEIN
698;107;LITUANIA
699;108;LUXEMBURGO
700;109;MACEDONIA
701;110;MADAGASCAR
702;111;MALASIA
703;112;MALAUI
704;113;MALDIVAS
705;114;MALÍ
706;115;MALTA
707;116;MARRUECOS
708;117;MAURICIO
709;118;MAURITANIA
710;119;MÉXICO
711;120;MICRONESIA
712;121;MOLDAVIA
713;122;MÓNACO
714;123;MONGOLIA
715;124;MONTENEGRO
716;125;MOZAMBIQUE
717;126;NAMIBIA
718;127;NAURU
719;128;NEPAL
720;129;NICARAGUA
721;130;NÍGER
722;131;NIGERIA
723;132;NORUEGA
724;133;NUEVA ZELANDA
725;134;OMÁN
726;135;PAÍSES BAJOS
727;136;PAKISTÁN
728;137;PALAOS
729;138;PALESTINA
730;139;PANAMÁ
731;140;PAPÚA NUEVA GUINEA
732;141;PARAGUAY
733;142;PERÚ
734;143;POLONIA
735;144;PORTUGAL
736;145;REINO UNIDO
737;146;REPÚBLICA CENTROAFRICANA
738;147;REPÚBLICA CHECA
739;148;REPÚBLICA DEMOCRÁTICA DEL CONGO
740;149;REPÚBLICA DOMINICANA
741;150;RUANDA
742;151;RUMANIA
743;152;RUSIA
744;153;SAMOA
745;155;SAN MARINO
746;154;SAN CRISTÓBAL Y NIEVES
747;156;SAN VICENTE Y LAS GRANADINAS
748;157;SANTA LUCÍA
749;158;SANTO TOMÉ Y PRÍNCIPE
750;159;SENEGAL
751;160;SERBIA
752;161;SEYCHELLES
753;162;SIERRA LEONA
754;163;SINGAPUR
755;164;SIRIA
756;165;SOMALIA
757;166;SRI LANKA
758;167;SUAZILANDIA
759;168;SUDÁFRICA
760;169;SUDÁN
761;170;SUDÁN DEL SUR
762;171;SUECIA
763;172;SUIZA
764;173;SURINAM
765;174;TAILANDIA
766;175;TAIWÁN
767;176;TANZANIA
768;177;TAYIKISTÁN
769;178;TIMOR ORIENTAL
770;179;TOGO
771;180;TONGA
772;181;TRINIDAD Y TOBAGO
773;182;TÚNEZ
774;183;TURKMENISTÁN
775;184;TURQUÍA
776;185;TUVALU
777;186;UCRANIA
778;187;UGANDA
779;188;URUGUAY
780;189;UZBEKISTÁN
781;190;VANUATU
782;191;VATICANO
783;192;VENEZUELA
784;193;VIETNAM
785;194;YEMEN
786;195;YIBUTI
787;196;ZAMBIA
788;197;ZIMBABUE
789;38;CHILE
